support,itemsets
0.05733333333333333,frozenset({'ac/dc'})
0.069,frozenset({'air'})
0.06266666666666666,frozenset({'amy winehouse'})
0.050666666666666665,frozenset({'arcade fire'})
0.08,frozenset({'arctic monkeys'})
0.062,frozenset({'beck'})
0.06433333333333334,frozenset({'björk'})
0.056666666666666664,frozenset({'blink-182'})
0.06466666666666666,frozenset({'bloc party'})
0.072,frozenset({'bob dylan'})
0.16066666666666668,frozenset({'coldplay'})
0.073,frozenset({'daft punk'})
0.07466666666666667,frozenset({'david bowie'})
0.084,frozenset({'death cab for cutie'})
0.07133333333333333,frozenset({'depeche mode'})
0.052333333333333336,frozenset({'evanescence'})
0.05566666666666667,frozenset({'feist'})
0.07566666666666666,frozenset({'foo fighters'})
0.056666666666666664,frozenset({'franz ferdinand'})
0.051666666666666666,frozenset({'gorillaz'})
0.081,frozenset({'green day'})
0.05533333333333333,frozenset({'in flames'})
0.05633333333333333,frozenset({'incubus'})
0.059333333333333335,frozenset({'iron maiden'})
0.057666666666666665,frozenset({'jack johnson'})
0.06733333333333333,frozenset({'johnny cash'})
0.064,frozenset({'kanye west'})
0.05633333333333333,frozenset({'kings of leon'})
0.074,frozenset({'led zeppelin'})
0.09566666666666666,frozenset({'linkin park'})
0.057,frozenset({'madonna'})
0.051333333333333335,frozenset({'marilyn manson'})
0.06366666666666666,frozenset({'massive attack'})
0.111,frozenset({'metallica'})
0.05433333333333333,frozenset({'michael jackson'})
0.059,frozenset({'moby'})
0.05,frozenset({'modest mouse'})
0.11933333333333333,frozenset({'muse'})
0.06266666666666666,frozenset({'nightwish'})
0.076,frozenset({'nine inch nails'})
0.09566666666666666,frozenset({'nirvana'})
0.05333333333333334,frozenset({'oasis'})
0.093,frozenset({'pink floyd'})
0.07966666666666666,frozenset({'placebo'})
0.068,frozenset({'portishead'})
0.06466666666666666,frozenset({'queen'})
0.16966666666666666,frozenset({'radiohead'})
0.06933333333333333,frozenset({'rammstein'})
0.11366666666666667,frozenset({'red hot chili peppers'})
0.076,frozenset({'sigur rós'})
0.05366666666666667,frozenset({'snow patrol'})
0.053,frozenset({'sufjan stevens'})
0.096,frozenset({'system of a down'})
0.172,frozenset({'the beatles'})
0.08133333333333333,frozenset({'the cure'})
0.10166666666666667,frozenset({'the killers'})
0.06666666666666667,frozenset({'the offspring'})
0.06433333333333334,frozenset({'the prodigy'})
0.05566666666666667,frozenset({'the rolling stones'})
0.06466666666666666,frozenset({'the smashing pumpkins'})
0.057666666666666665,frozenset({'the smiths'})
0.05266666666666667,frozenset({'the strokes'})
0.06466666666666666,frozenset({'the white stripes'})
0.051,frozenset({'tool'})
0.06266666666666666,frozenset({'u2'})
0.052,"frozenset({'radiohead', 'coldplay'})"
0.050666666666666665,"frozenset({'radiohead', 'the beatles'})"
