idUsuario,artista,sexo,pais
5,dream theater,m,Finland
5,ac/dc,m,Finland
5,metallica,m,Finland
5,iron maiden,m,Finland
5,bob marley & the wailers,m,Finland
5,megadeth,m,Finland
5,children of bodom,m,Finland
5,trivium,m,Finland
5,nightwish,m,Finland
5,sublime,m,Finland
5,volbeat,m,Finland
9,arch enemy,m,United States
9,strapping young lad,m,United States
9,kreator,m,United States
9,children of bodom,m,United States
9,iron maiden,m,United States
9,sabaton,m,United States
9,helloween,m,United States
9,mastodon,m,United States
9,pantera,m,United States
9,manowar,m,United States
9,gojira,m,United States
9,devildriver,m,United States
9,slayer,m,United States
9,hammerfall,m,United States
9,hatebreed,m,United States
9,in flames,m,United States
9,meshuggah,m,United States
9,finntroll,m,United States
9,gamma ray,m,United States
14,sonic youth,m,"Korea, Republic of"
14,the fall,m,"Korea, Republic of"
14,mogwai,m,"Korea, Republic of"
14,the velvet underground,m,"Korea, Republic of"
14,stereolab,m,"Korea, Republic of"
14,my bloody valentine,m,"Korea, Republic of"
14,the radio dept.,m,"Korea, Republic of"
14,the kinks,m,"Korea, Republic of"
22,the jam,m,United Kingdom
22,maxïmo park,m,United Kingdom
22,supergrass,m,United Kingdom
22,simon & garfunkel,m,United Kingdom
22,paul simon,m,United Kingdom
22,blur,m,United Kingdom
22,oasis,m,United Kingdom
22,snow patrol,m,United Kingdom
22,the who,m,United Kingdom
22,r.e.m.,m,United Kingdom
22,arctic monkeys,m,United Kingdom
22,babyshambles,m,United Kingdom
22,kasabian,m,United Kingdom
22,the libertines,m,United Kingdom
22,kings of leon,m,United Kingdom
22,pulp,m,United Kingdom
22,radiohead,m,United Kingdom
22,john lennon,m,United Kingdom
22,the strokes,m,United Kingdom
22,the stone roses,m,United Kingdom
22,dirty pretty things,m,United Kingdom
22,editors,m,United Kingdom
22,paul mccartney,m,United Kingdom
22,the cure,m,United Kingdom
22,joy division,m,United Kingdom
22,the fratellis,m,United Kingdom
22,u2,m,United Kingdom
22,david bowie,m,United Kingdom
22,doves,m,United Kingdom
22,the rolling stones,m,United Kingdom
22,the prodigy,m,United Kingdom
22,new order,m,United Kingdom
24,the byrds,m,United Kingdom
24,leonard cohen,m,United Kingdom
24,the beatles,m,United Kingdom
24,simon & garfunkel,m,United Kingdom
24,queen,m,United Kingdom
24,tom waits,m,United Kingdom
24,the beach boys,m,United Kingdom
24,neil young,m,United Kingdom
24,johnny cash,m,United Kingdom
24,the kinks,m,United Kingdom
24,bruce springsteen,m,United Kingdom
24,the rolling stones,m,United Kingdom
24,john lennon,m,United Kingdom
24,billy joel,m,United Kingdom
24,jonas brothers,m,United Kingdom
32,nick cave and the bad seeds,f,United States
32,black flag,f,United States
32,the gossip,f,United States
32,Édith piaf,f,United States
32,misfits,f,United States
32,deerhoof,f,United States
32,tom waits,f,United States
32,peaches,f,United States
32,turbonegro,f,United States
32,leonard cohen,f,United States
32,antony and the johnsons,f,United States
32,crystal castles,f,United States
32,the black keys,f,United States
32,minor threat,f,United States
32,of montreal,f,United States
32,devendra banhart,f,United States
32,the zombies,f,United States
32,rufus wainwright,f,United States
32,the doors,f,United States
32,the dresden dolls,f,United States
32,gogol bordello,f,United States
32,the kills,f,United States
32,nouvelle vague,f,United States
39,britney spears,m,Russian Federation
39,a-ha,m,Russian Federation
39,joss stone,m,Russian Federation
39,christina aguilera,m,Russian Federation
39,hilary duff,m,Russian Federation
39,katie melua,m,Russian Federation
39,katy perry,m,Russian Federation
39,norah jones,m,Russian Federation
39,september,m,Russian Federation
39,shakira,m,Russian Federation
39,leona lewis,m,Russian Federation
44,girl talk,m,United States
44,roxette,m,United States
44,kings of leon,m,United States
44,my morning jacket,m,United States
44,beck,m,United States
44,grateful dead,m,United States
44,beastie boys,m,United States
44,arcade fire,m,United States
44,wilco,m,United States
44,the decemberists,m,United States
44,fleetwood mac,m,United States
44,a-ha,m,United States
44,johnny cash,m,United States
44,coldplay,m,United States
44,cut copy,m,United States
44,kelly clarkson,m,United States
44,the beatles,m,United States
44,camera obscura,m,United States
44,cat power,m,United States
44,gnarls barkley,m,United States
44,the national,m,United States
44,pavement,m,United States
44,animal collective,m,United States
44,belle and sebastian,m,United States
44,ben folds,m,United States
44,elvis costello,m,United States
44,modest mouse,m,United States
44,the go! team,m,United States
44,kanye west,m,United States
44,the shins,m,United States
44,the flaming lips,m,United States
44,radiohead,m,United States
44,stars,m,United States
45,the dandy warhols,m,United States
45,the beatles,m,United States
45,the stone roses,m,United States
45,stevie wonder,m,United States
45,devo,m,United States
45,the rolling stones,m,United States
45,new order,m,United States
45,u2,m,United States
45,the smiths,m,United States
45,the who,m,United States
45,talking heads,m,United States
45,elvis presley,m,United States
45,the white stripes,m,United States
45,inxs,m,United States
45,beck,m,United States
45,fatboy slim,m,United States
45,the cure,m,United States
45,morrissey,m,United States
45,r.e.m.,m,United States
45,pet shop boys,m,United States
45,sugababes,m,United States
45,the clash,m,United States
45,prince,m,United States
45,depeche mode,m,United States
45,eels,m,United States
45,badly drawn boy,m,United States
45,led zeppelin,m,United States
45,coldplay,m,United States
45,dave matthews band,m,United States
45,marvin gaye,m,United States
45,basement jaxx,m,United States
45,kasabian,m,United States
45,they might be giants,m,United States
45,cake,m,United States
48,as i lay dying,m,Norway
48,skillet,m,Norway
48,atreyu,m,Norway
48,bullet for my valentine,m,Norway
48,disturbed,m,Norway
48,parkway drive,m,Norway
48,killswitch engage,m,Norway
48,papa roach,m,Norway
48,the used,m,Norway
48,rammstein,m,Norway
48,david guetta,m,Norway
48,sum 41,m,Norway
48,trivium,m,Norway
48,deathstars,m,Norway
48,scar symmetry,m,Norway
48,the prodigy,m,Norway
48,rise against,m,Norway
48,eminem,m,Norway
48,children of bodom,m,Norway
50,the ataris,f,Russian Federation
50,yann tiersen,f,Russian Federation
50,the smashing pumpkins,f,Russian Federation
50,carla bruni,f,Russian Federation
50,the cure,f,Russian Federation
50,joy division,f,Russian Federation
50,placebo,f,Russian Federation
50,patrick wolf,f,Russian Federation
50,blink-182,f,Russian Federation
50,65daysofstatic,f,Russian Federation
50,beirut,f,Russian Federation
50,nirvana,f,Russian Federation
50,blonde redhead,f,Russian Federation
50,underoath,f,Russian Federation
50,regina spektor,f,Russian Federation
50,yeah yeah yeahs,f,Russian Federation
50,bauhaus,f,Russian Federation
50,mew,f,Russian Federation
50,taking back sunday,f,Russian Federation
50,sigur rós,f,Russian Federation
50,god is an astronaut,f,Russian Federation
50,metric,f,Russian Federation
50,iron & wine,f,Russian Federation
50,anna ternheim,f,Russian Federation
50,the fray,f,Russian Federation
50,the shins,f,Russian Federation
50,ray lamontagne,f,Russian Federation
50,radiohead,f,Russian Federation
50,hellogoodbye,f,Russian Federation
50,klaxons,f,Russian Federation
59,the libertines,f,Japan
59,the zombies,f,Japan
59,beirut,f,Japan
59,band of horses,f,Japan
59,arctic monkeys,f,Japan
59,adam green,f,Japan
59,the strokes,f,Japan
63,ministry,m,Finland
63,turbonegro,m,Finland
63,paradise lost,m,Finland
63,katatonia,m,Finland
63,pj harvey,m,Finland
63,deftones,m,Finland
63,parkway drive,m,Finland
63,danny elfman,m,Finland
63,marilyn manson,m,Finland
63,amorphis,m,Finland
63,the dillinger escape plan,m,Finland
63,massive attack,m,Finland
63,opeth,m,Finland
63,sigur rós,m,Finland
63,strapping young lad,m,Finland
63,placebo,m,Finland
63,muse,m,Finland
63,apocalyptica,m,Finland
63,type o negative,m,Finland
63,sentenced,m,Finland
63,beastie boys,m,Finland
63,the birthday massacre,m,Finland
63,garbage,m,Finland
63,misfits,m,Finland
63,system of a down,m,Finland
64,apparat,m,Poland
64,drowning pool,m,Poland
64,armin van buuren,m,Poland
64,alexisonfire,m,Poland
64,chicane,m,Poland
64,30 seconds to mars,m,Poland
64,ghostface,m,Poland
64,death cab for cutie,m,Poland
64,imogen heap,m,Poland
64,trentemøller,m,Poland
64,placebo,m,Poland
64,underworld,m,Poland
76,andrew bird,m,Portugal
76,beirut,m,Portugal
76,eagles of death metal,m,Portugal
76,the black keys,m,Portugal
76,sufjan stevens,m,Portugal
76,the white stripes,m,Portugal
76,ani difranco,m,Portugal
76,architecture in helsinki,m,Portugal
76,final fantasy,m,Portugal
76,the national,m,Portugal
76,pj harvey,m,Portugal
76,bat for lashes,m,Portugal
76,feist,m,Portugal
76,lamb,m,Portugal
76,kate nash,m,Portugal
76,camera obscura,m,Portugal
76,joanna newsom,m,Portugal
76,kings of convenience,m,Portugal
76,nine inch nails,m,Portugal
76,broken social scene,m,Portugal
76,the dresden dolls,m,Portugal
76,tv on the radio,m,Portugal
76,arcade fire,m,Portugal
76,clap your hands say yeah,m,Portugal
76,of montreal,m,Portugal
76,animal collective,m,Portugal
83,black eyed peas,m,Poland
83,dido,m,Poland
83,nelly furtado,m,Poland
92,armin van buuren,m,Ukraine
92,nickelback,m,Ukraine
92,depeche mode,m,Ukraine
92,enigma,m,Ukraine
92,kosheen,m,Ukraine
92,atb,m,Ukraine
92,fort minor,m,Ukraine
92,infected mushroom,m,Ukraine
92,tarja turunen,m,Ukraine
92,backstreet boys,m,Ukraine
92,era,m,Ukraine
92,nelly furtado,m,Ukraine
92,sting,m,Ukraine
92,a-ha,m,Ukraine
92,3 doors down,m,Ukraine
92,enrique iglesias,m,Ukraine
92,muse,m,Ukraine
92,apocalyptica,m,Ukraine
92,paul oakenfold,m,Ukraine
92,rihanna,m,Ukraine
92,scorpions,m,Ukraine
92,avril lavigne,m,Ukraine
92,epica,m,Ukraine
92,kylie minogue,m,Ukraine
92,the pussycat dolls,m,Ukraine
98,digitalism,m,Slovakia
98,hot chip,m,Slovakia
98,justice,m,Slovakia
98,chromeo,m,Slovakia
