support,itemsets
0.0353356890459364,frozenset({'2pac'})
0.03180212014134275,frozenset({'311'})
0.030035335689045935,frozenset({'50 cent'})
0.03180212014134275,frozenset({'a perfect circle'})
0.044169611307420496,frozenset({'a tribe called quest'})
0.026501766784452298,frozenset({'abba'})
0.03356890459363958,frozenset({'ac/dc'})
0.0353356890459364,frozenset({'aerosmith'})
0.0353356890459364,frozenset({'aesop rock'})
0.038869257950530034,frozenset({'afi'})
0.04063604240282685,frozenset({'against me!'})
0.04946996466431095,frozenset({'air'})
0.026501766784452298,frozenset({'alanis morissette'})
0.0353356890459364,frozenset({'alice in chains'})
0.028268551236749116,frozenset({'alicia keys'})
0.03356890459363958,frozenset({'alkaline trio'})
0.022968197879858657,frozenset({'all time low'})
0.02120141342756184,frozenset({'amy winehouse'})
0.030035335689045935,frozenset({'anberlin'})
0.053003533568904596,frozenset({'andrew bird'})
0.022968197879858657,frozenset({'angels & airwaves'})
0.02120141342756184,frozenset({'ani difranco'})
0.0706713780918728,frozenset({'animal collective'})
0.05653710247349823,frozenset({'aphex twin'})
0.07950530035335689,frozenset({'arcade fire'})
0.03180212014134275,frozenset({'architecture in helsinki'})
0.04240282685512368,frozenset({'arctic monkeys'})
0.024734982332155476,frozenset({'at the drive-in'})
0.04770318021201413,frozenset({'atmosphere'})
0.028268551236749116,frozenset({'backstreet boys'})
0.030035335689045935,frozenset({'band of horses'})
0.03356890459363958,frozenset({'barenaked ladies'})
0.05830388692579505,frozenset({'beastie boys'})
0.13427561837455831,frozenset({'beck'})
0.054770318021201414,frozenset({'beirut'})
0.06890459363957598,frozenset({'belle and sebastian'})
0.06007067137809187,frozenset({'ben folds'})
0.028268551236749116,frozenset({'ben folds five'})
0.02120141342756184,frozenset({'ben harper'})
0.024734982332155476,frozenset({'billie holiday'})
0.04063604240282685,frozenset({'billy joel'})
0.06713780918727916,frozenset({'björk'})
0.022968197879858657,frozenset({'black eyed peas'})
0.022968197879858657,frozenset({'black flag'})
0.037102473498233215,frozenset({'black sabbath'})
0.06007067137809187,frozenset({'blink-182'})
0.04770318021201413,frozenset({'bloc party'})
0.022968197879858657,frozenset({'blonde redhead'})
0.06007067137809187,frozenset({'boards of canada'})
0.08833922261484099,frozenset({'bob dylan'})
0.028268551236749116,frozenset({'bob marley'})
0.024734982332155476,frozenset({'bob marley & the wailers'})
0.03180212014134275,frozenset({'bon iver'})
0.06713780918727916,frozenset({'brand new'})
0.028268551236749116,frozenset({'brian eno'})
0.07950530035335689,frozenset({'bright eyes'})
0.061837455830388695,frozenset({'britney spears'})
0.06890459363957598,frozenset({'broken social scene'})
0.038869257950530034,frozenset({'bruce springsteen'})
0.026501766784452298,frozenset({'built to spill'})
0.053003533568904596,frozenset({'cake'})
0.05653710247349823,frozenset({'cat power'})
0.022968197879858657,frozenset({'chiodos'})
0.02120141342756184,frozenset({'chris brown'})
0.03180212014134275,frozenset({'circa survive'})
0.028268551236749116,frozenset({'cocorosie'})
0.0353356890459364,frozenset({'coheed and cambria'})
0.16784452296819788,frozenset({'coldplay'})
0.030035335689045935,frozenset({'common'})
0.02120141342756184,frozenset({'converge'})
0.02120141342756184,frozenset({'counting crows'})
0.04063604240282685,frozenset({'creedence clearwater revival'})
0.022968197879858657,frozenset({'crystal castles'})
0.03356890459363958,frozenset({'cursive'})
0.022968197879858657,frozenset({'cut copy'})
0.09010600706713781,frozenset({'daft punk'})
0.038869257950530034,frozenset({'damien rice'})
0.045936395759717315,frozenset({'dashboard confessional'})
0.053003533568904596,frozenset({'dave matthews band'})
0.08657243816254417,frozenset({'david bowie'})
0.02120141342756184,frozenset({'de la soul'})
0.18197879858657243,frozenset({'death cab for cutie'})
0.026501766784452298,frozenset({'death from above 1979'})
0.028268551236749116,frozenset({'deerhoof'})
0.03180212014134275,frozenset({'deftones'})
0.05653710247349823,frozenset({'depeche mode'})
0.04946996466431095,frozenset({'devendra banhart'})
0.02120141342756184,frozenset({'devo'})
0.030035335689045935,frozenset({'disturbed'})
0.026501766784452298,frozenset({'dr. dre'})
0.024734982332155476,frozenset({'dream theater'})
0.10070671378091872,frozenset({'elliott smith'})
0.0353356890459364,frozenset({'elvis costello'})
0.024734982332155476,frozenset({'elvis presley'})
0.038869257950530034,frozenset({'eminem'})
0.028268551236749116,frozenset({'enya'})
0.024734982332155476,frozenset({'eric clapton'})
0.02120141342756184,frozenset({'erykah badu'})
0.038869257950530034,frozenset({'evanescence'})
0.045936395759717315,frozenset({'explosions in the sky'})
