id,quesm2,ativcolm2,forum5,forum6,forum7,ativcolm2r,quesm2r,forum8,forum2r,aprovado,quesm1,quesm1r,forum1,forum2,forum3,forum4,ativcolm1,ativcolm1r,forum1r
7,1,1,1,1,1,0,0,1,0,Sim,1,0,1,0,1,1,1,0,0
33,1,1,1,0,1,0,0,1,1,Sim,1,0,1,1,1,1,1,0,1
45,1,1,1,0,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
50,0,1,0,0,0,0,0,0,0,Sim,1,0,0,0,1,0,1,0,0
58,0,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
67,1,1,1,0,0,0,0,0,0,Não,1,1,1,1,1,1,1,1,1
70,1,1,1,1,1,1,0,1,0,Não,1,0,1,1,0,1,1,0,0
73,1,0,1,1,1,1,0,1,0,Não,1,0,1,1,1,1,1,0,0
82,1,0,0,0,0,0,1,0,0,Não,1,1,1,0,1,1,1,0,0
86,1,1,1,1,1,0,1,1,1,Sim,1,1,1,1,1,1,1,0,0
91,1,1,1,1,1,0,0,1,0,Sim,1,0,0,0,0,1,1,0,0
97,1,1,0,0,0,1,1,0,0,Sim,1,1,1,1,1,1,1,0,1
126,1,1,1,0,0,0,0,1,0,Sim,1,1,1,1,1,1,1,0,0
137,1,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
143,1,0,1,1,0,0,0,1,0,Não,1,0,0,0,0,0,0,0,0
144,1,1,1,1,1,0,0,1,0,Sim,1,1,1,1,1,1,1,0,0
146,1,1,0,1,1,0,0,0,0,Sim,1,0,1,1,1,1,1,0,0
152,0,1,1,1,1,0,0,0,0,Não,1,0,1,1,1,1,1,0,0
169,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
198,0,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
199,1,1,1,1,1,0,1,0,0,Sim,0,1,1,0,0,0,0,1,1
204,1,1,1,1,1,0,0,1,0,Não,1,1,1,1,1,1,0,1,1
218,1,1,1,1,1,0,0,1,0,Sim,1,1,1,1,1,1,1,0,0
231,1,1,1,1,1,0,1,1,0,Não,1,0,1,1,1,1,1,0,0
232,0,0,0,0,0,0,0,0,0,Não,0,1,0,0,0,0,0,0,0
237,0,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
247,1,0,1,0,0,0,1,0,1,Não,1,0,1,1,1,1,1,0,0
271,0,0,0,0,0,0,1,0,0,Não,0,1,0,1,1,0,0,0,1
291,1,1,1,1,1,0,0,0,0,Não,1,1,1,1,1,1,1,0,0
303,1,1,0,1,0,1,0,1,0,Sim,1,1,1,1,1,1,1,0,0
308,1,1,1,0,0,0,0,0,0,Sim,1,0,1,1,1,1,1,0,0
315,0,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
316,1,1,1,1,0,0,0,1,1,Sim,1,0,1,1,1,1,1,0,0
326,0,0,0,0,0,0,0,0,0,Não,0,0,1,1,1,0,0,0,0
329,1,0,1,0,0,0,0,0,0,Não,1,0,1,1,1,1,1,0,0
330,1,1,0,0,0,0,0,0,0,Não,1,0,0,0,1,1,1,0,0
335,1,1,1,1,1,0,0,0,0,Sim,0,0,1,1,0,0,0,0,0
337,1,1,0,0,0,0,0,0,1,Não,1,1,1,1,1,0,1,0,0
339,0,0,0,0,0,0,0,0,0,Não,0,0,1,0,0,0,1,0,0
400,1,1,1,0,1,0,0,1,0,Não,1,0,1,1,1,1,1,0,0
451,1,1,0,0,0,0,0,0,0,Não,1,0,1,1,1,1,0,0,0
464,1,1,0,1,0,0,0,0,0,Não,0,1,0,0,0,0,0,0,0
487,0,1,0,0,0,1,0,0,0,Sim,0,0,0,0,0,0,1,1,0
488,1,1,1,1,1,0,0,1,0,Sim,1,1,1,1,1,0,1,0,0
498,1,1,0,0,0,0,1,0,1,Não,1,0,1,1,1,1,1,0,0
527,1,0,1,0,0,0,0,1,0,Sim,1,0,1,1,1,0,1,0,0
545,1,0,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
577,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
589,1,1,1,1,1,0,0,1,0,Não,1,1,1,1,1,0,0,1,1
604,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
613,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
622,1,1,1,1,1,0,1,1,1,Não,0,1,1,1,1,1,1,0,1
630,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
635,1,0,0,1,1,1,1,1,0,Sim,1,1,1,1,1,1,0,1,1
640,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
646,1,1,1,1,0,0,0,1,0,Sim,1,1,1,1,1,1,1,1,1
650,1,0,1,1,1,0,0,1,0,Não,1,1,1,1,1,1,1,0,0
652,1,1,0,0,0,0,0,0,0,Sim,1,0,1,1,1,0,1,0,0
658,0,1,0,1,0,1,1,1,0,Não,0,0,1,1,1,1,1,0,0
667,1,0,1,0,1,1,1,1,1,Não,1,1,1,0,1,1,1,0,1
668,1,0,0,0,0,0,0,1,0,Sim,1,0,1,1,1,1,0,0,0
671,1,1,1,1,0,0,0,1,0,Sim,0,1,1,1,1,1,1,0,0
689,1,1,1,1,1,0,1,1,0,Sim,1,1,1,1,1,1,1,0,0
696,1,0,1,1,1,0,0,1,0,Sim,1,0,1,1,1,0,1,0,1
720,1,1,0,0,0,0,1,1,0,Sim,1,1,1,1,1,1,1,0,0
738,1,0,0,0,0,0,0,1,0,Sim,0,0,1,1,1,1,0,0,0
739,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
742,0,0,1,0,0,0,0,0,0,Não,0,0,1,1,1,0,0,0,0
746,1,0,1,1,1,0,0,1,0,Sim,0,1,1,1,1,1,0,0,1
749,0,0,0,0,0,0,0,0,0,Sim,0,0,1,1,1,1,0,0,0
750,0,1,0,0,0,0,0,0,0,Não,0,0,1,1,0,1,1,0,0
751,1,1,0,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
754,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
776,0,0,0,0,0,0,0,0,0,Não,1,0,1,1,1,0,0,0,0
778,1,1,1,0,1,0,1,0,0,Não,0,1,1,1,1,0,0,0,1
795,1,1,0,0,0,0,0,0,0,Não,1,0,1,1,0,0,1,0,0
799,0,0,0,0,0,0,0,0,0,Não,1,0,1,1,1,1,0,0,0
803,0,0,0,0,0,0,0,0,0,Não,0,0,1,1,1,1,0,0,0
806,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
814,0,1,1,0,1,0,0,0,0,Sim,1,0,1,1,1,1,1,0,0
820,1,0,1,1,1,0,0,1,0,Não,1,0,1,1,1,1,0,0,0
821,1,1,1,0,1,0,0,0,0,Não,1,1,1,1,1,1,1,0,0
827,1,1,1,1,0,0,0,1,0,Não,1,1,1,1,1,1,0,1,1
840,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
852,1,1,1,0,0,0,0,0,0,Não,1,0,1,1,1,0,1,0,0
866,0,0,0,0,0,0,1,0,1,Não,1,1,1,1,1,1,0,0,0
913,0,1,0,0,0,1,1,0,0,Sim,0,1,0,1,0,0,1,1,1
931,1,0,0,0,0,0,0,0,0,Não,1,0,1,1,1,1,0,0,0
933,1,1,1,1,1,0,1,1,0,Sim,1,1,1,1,1,1,0,1,1
948,1,1,1,1,1,0,0,1,0,Não,1,1,1,1,1,1,1,0,0
956,1,1,1,1,1,1,0,1,0,Sim,1,0,1,1,1,1,1,1,0
959,1,1,0,1,1,0,0,0,0,Sim,1,1,1,1,1,1,1,1,1
964,0,0,0,0,0,0,0,0,0,Não,1,0,1,1,1,1,1,0,0
977,1,1,0,1,0,0,0,0,0,Não,1,0,1,1,1,1,1,0,0
1001,1,1,1,1,0,0,0,0,0,Sim,1,0,1,1,1,1,0,0,0
1016,1,0,1,0,1,0,0,1,0,Não,1,0,1,1,1,1,0,0,0
1020,1,1,1,1,1,0,1,1,1,Não,1,0,1,1,1,1,1,0,0
1024,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
1028,1,1,1,1,0,0,0,0,0,Não,1,0,1,1,1,1,1,0,0
1042,1,0,1,1,0,1,1,1,1,Não,1,1,1,1,1,0,0,0,1
1046,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
1052,0,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
1071,1,1,1,0,0,0,0,0,0,Não,1,1,1,1,1,1,1,0,0
1072,1,1,1,0,0,1,0,1,0,Não,0,1,0,0,0,0,0,1,1
1082,1,1,1,0,0,0,1,0,1,Sim,1,1,0,1,1,1,1,0,0
1086,1,0,0,1,1,0,0,1,0,Sim,1,0,1,1,1,1,0,0,0
1088,1,1,1,1,1,0,0,0,0,Sim,1,0,1,1,1,1,1,0,0
1089,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
1094,0,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
1114,0,0,0,0,0,1,1,0,1,Sim,1,0,1,1,1,1,1,0,0
1118,1,1,1,1,1,0,1,1,0,Não,1,0,1,1,1,1,1,0,0
1133,1,1,0,0,0,1,1,0,1,Sim,1,0,0,1,1,1,1,1,1
1150,0,0,0,1,0,0,0,0,0,Não,0,0,1,0,0,1,0,0,0
1188,1,1,1,1,1,0,0,1,0,Não,1,0,1,1,1,1,1,0,0
1214,1,1,1,0,1,0,0,0,0,Não,1,1,1,1,1,1,1,0,0
1224,0,0,0,0,0,0,0,0,0,Não,1,1,1,0,0,0,0,0,0
1241,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,0,0,0,0
1242,1,0,0,0,0,0,0,0,0,Não,0,0,1,1,1,0,0,0,0
1285,0,1,1,1,1,0,0,0,0,Não,1,1,1,1,1,1,1,0,0
1292,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
1299,1,1,1,1,1,0,0,1,0,Não,1,0,1,1,1,1,1,0,0
1383,1,0,1,1,1,0,1,0,0,Sim,0,1,1,1,0,0,0,1,1
1385,1,1,1,0,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
1403,0,0,0,0,0,0,0,0,0,Não,0,0,1,0,0,0,0,0,0
1410,1,1,0,1,1,0,0,1,0,Não,1,1,1,1,1,1,0,0,1
1419,0,0,1,1,0,1,1,1,1,Sim,1,0,1,1,1,1,1,0,0
1420,1,0,0,0,0,0,1,0,0,Sim,0,1,1,1,1,0,0,0,1
1447,1,0,1,0,0,0,0,0,0,Não,0,1,1,1,1,1,0,0,1
1449,0,0,0,0,0,0,0,0,0,Não,0,0,1,1,1,1,1,0,0
1461,1,0,1,0,1,0,0,1,0,Sim,0,1,1,1,1,1,0,1,1
1462,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
1466,1,1,1,1,1,0,1,0,1,Sim,1,1,1,1,1,1,1,0,0
1489,1,1,1,1,0,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
1495,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
1500,0,0,0,0,0,0,0,0,0,Não,1,0,1,0,0,0,1,0,0
1512,1,1,1,1,0,0,0,1,0,Sim,0,1,1,1,1,1,1,0,0
1524,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
1540,1,1,0,1,0,0,0,0,0,Não,0,1,1,1,1,1,1,0,0
1548,0,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
1550,1,0,0,0,1,0,1,0,0,Não,1,0,1,1,1,1,1,0,0
1578,1,1,0,0,0,0,0,0,1,Não,1,0,1,1,1,1,1,0,0
1582,0,0,0,0,0,1,1,0,1,Não,1,0,1,1,1,1,1,0,0
1589,1,1,1,0,0,0,0,0,1,Não,1,0,1,1,1,1,1,0,0
1590,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
1605,1,1,1,1,1,0,0,0,0,Sim,1,0,1,1,1,1,1,0,0
1610,0,0,0,0,0,1,0,0,1,Sim,0,1,1,1,1,0,1,1,1
1612,1,1,0,0,0,0,0,0,0,Não,1,0,1,1,1,1,1,0,0
1640,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
1644,1,0,1,0,0,0,0,0,0,Não,1,0,1,1,1,1,1,0,0
1649,0,0,0,1,0,1,1,0,1,Não,0,1,1,1,1,1,0,1,1
1672,0,0,0,0,0,0,0,0,0,Não,0,0,1,1,1,0,0,0,0
1689,0,1,0,1,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
1698,1,1,0,0,0,0,0,0,1,Não,1,0,1,1,1,1,1,0,0
1728,0,0,0,0,0,0,0,0,0,Não,0,0,1,1,1,1,0,0,0
1735,0,1,1,1,1,1,1,0,1,Não,1,0,1,1,1,1,1,1,0
1747,1,1,1,1,1,0,0,1,0,Não,0,1,1,1,1,0,0,1,0
1768,1,0,1,1,1,0,0,1,0,Não,1,0,1,1,1,1,1,0,0
1776,1,0,1,0,1,0,0,0,0,Sim,1,0,1,1,1,1,0,0,0
1792,1,1,1,0,1,0,0,0,0,Sim,1,0,1,1,1,1,1,0,0
1798,0,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
1806,1,1,1,1,1,0,0,1,0,Não,1,0,1,1,1,1,1,0,0
1812,0,0,0,0,0,0,1,1,0,Não,1,0,1,1,1,1,1,0,0
1813,0,0,1,1,1,0,0,0,0,Não,1,0,0,0,0,0,0,0,0
1816,1,0,0,1,0,0,0,0,0,Não,0,0,1,1,1,1,1,0,0
1825,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
1834,0,0,0,0,0,0,1,0,0,Não,0,0,0,0,0,0,0,0,0
1857,1,1,1,0,1,0,0,1,0,Sim,1,1,1,1,1,1,1,0,0
1866,1,1,1,0,1,0,0,0,0,Sim,1,0,1,1,1,0,1,0,0
1878,1,1,1,1,0,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
1885,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
1911,0,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
1919,1,1,0,1,1,0,1,0,0,Sim,1,1,1,1,1,1,1,0,1
1925,1,1,0,1,1,0,1,0,0,Não,0,1,1,1,1,1,0,1,1
1928,1,1,1,0,0,1,1,0,1,Não,1,1,1,1,1,0,0,1,0
