id,quesm1,quesm1r,forum1,forum2,forum3,forum4,ativcolm1,ativcolm1r,forum1r,aprovado
7,1,0,1,0,1,1,1,0,0,Sim
33,1,0,1,1,1,1,1,0,1,Sim
45,1,0,1,1,1,1,1,0,0,Sim
50,1,0,0,0,1,0,1,0,0,Sim
58,0,0,0,0,0,0,0,0,0,Não
59,0,0,0,0,0,0,0,0,0,Não
67,1,1,1,1,1,1,1,1,1,Não
70,1,0,1,1,0,1,1,0,0,Não
73,1,0,1,1,1,1,1,0,0,Não
82,1,1,1,0,1,1,1,0,0,Não
86,1,1,1,1,1,1,1,0,0,Sim
91,1,0,0,0,0,1,1,0,0,Sim
97,1,1,1,1,1,1,1,0,1,Sim
126,1,1,1,1,1,1,1,0,0,Sim
137,0,0,0,0,0,0,0,0,0,Não
143,1,0,0,0,0,0,0,0,0,Não
144,1,1,1,1,1,1,1,0,0,Sim
146,1,0,1,1,1,1,1,0,0,Sim
152,1,0,1,1,1,1,1,0,0,Não
169,1,0,1,1,1,1,1,0,0,Sim
198,0,0,0,0,0,0,0,0,0,Não
199,0,1,1,0,0,0,0,1,1,Sim
204,1,1,1,1,1,1,0,1,1,Não
218,1,1,1,1,1,1,1,0,0,Sim
231,1,0,1,1,1,1,1,0,0,Não
232,0,1,0,0,0,0,0,0,0,Não
237,0,0,0,0,0,0,0,0,0,Não
247,1,0,1,1,1,1,1,0,0,Não
271,0,1,0,1,1,0,0,0,1,Não
291,1,1,1,1,1,1,1,0,0,Não
303,1,1,1,1,1,1,1,0,0,Sim
308,1,0,1,1,1,1,1,0,0,Sim
315,0,0,0,0,0,0,0,0,0,Não
316,1,0,1,1,1,1,1,0,0,Sim
326,0,0,1,1,1,0,0,0,0,Não
329,1,0,1,1,1,1,1,0,0,Não
330,1,0,0,0,1,1,1,0,0,Não
335,0,0,1,1,0,0,0,0,0,Sim
337,1,1,1,1,1,0,1,0,0,Não
339,0,0,1,0,0,0,1,0,0,Não
400,1,0,1,1,1,1,1,0,0,Não
451,1,0,1,1,1,1,0,0,0,Não
464,0,1,0,0,0,0,0,0,0,Não
487,0,0,0,0,0,0,1,1,0,Sim
488,1,1,1,1,1,0,1,0,0,Sim
498,1,0,1,1,1,1,1,0,0,Não
527,1,0,1,1,1,0,1,0,0,Sim
545,1,0,1,1,1,1,1,0,0,Sim
577,1,0,1,1,1,1,1,0,0,Sim
589,1,1,1,1,1,0,0,1,1,Não
604,1,0,1,1,1,1,1,0,0,Sim
613,1,0,1,1,1,1,1,0,0,Sim
622,0,1,1,1,1,1,1,0,1,Não
630,1,0,1,1,1,1,1,0,0,Sim
635,1,1,1,1,1,1,0,1,1,Sim
640,1,0,1,1,1,1,1,0,0,Sim
646,1,1,1,1,1,1,1,1,1,Sim
650,1,1,1,1,1,1,1,0,0,Não
652,1,0,1,1,1,0,1,0,0,Sim
658,0,0,1,1,1,1,1,0,0,Não
667,1,1,1,0,1,1,1,0,1,Não
668,1,0,1,1,1,1,0,0,0,Sim
671,0,1,1,1,1,1,1,0,0,Sim
689,1,1,1,1,1,1,1,0,0,Sim
696,1,0,1,1,1,0,1,0,1,Sim
720,1,1,1,1,1,1,1,0,0,Sim
738,0,0,1,1,1,1,0,0,0,Sim
739,1,0,1,1,1,1,1,0,0,Sim
742,0,0,1,1,1,0,0,0,0,Não
746,0,1,1,1,1,1,0,0,1,Sim
749,0,0,1,1,1,1,0,0,0,Sim
750,0,0,1,1,0,1,1,0,0,Não
751,1,0,1,1,1,1,1,0,0,Sim
754,1,0,1,1,1,1,1,0,0,Sim
776,1,0,1,1,1,0,0,0,0,Não
778,0,1,1,1,1,0,0,0,1,Não
795,1,0,1,1,0,0,1,0,0,Não
799,1,0,1,1,1,1,0,0,0,Não
803,0,0,1,1,1,1,0,0,0,Não
806,1,0,1,1,1,1,1,0,0,Sim
814,1,0,1,1,1,1,1,0,0,Sim
820,1,0,1,1,1,1,0,0,0,Não
821,1,1,1,1,1,1,1,0,0,Não
827,1,1,1,1,1,1,0,1,1,Não
840,1,0,1,1,1,1,1,0,0,Sim
852,1,0,1,1,1,0,1,0,0,Não
866,1,1,1,1,1,1,0,0,0,Não
913,0,1,0,1,0,0,1,1,1,Sim
931,1,0,1,1,1,1,0,0,0,Não
933,1,1,1,1,1,1,0,1,1,Sim
948,1,1,1,1,1,1,1,0,0,Não
956,1,0,1,1,1,1,1,1,0,Sim
959,1,1,1,1,1,1,1,1,1,Sim
964,1,0,1,1,1,1,1,0,0,Não
977,1,0,1,1,1,1,1,0,0,Não
1001,1,0,1,1,1,1,0,0,0,Sim
1016,1,0,1,1,1,1,0,0,0,Não
1020,1,0,1,1,1,1,1,0,0,Não
1024,1,0,1,1,1,1,1,0,0,Sim
1028,1,0,1,1,1,1,1,0,0,Não
1042,1,1,1,1,1,0,0,0,1,Não
1046,1,0,1,1,1,1,1,0,0,Sim
1052,0,0,0,0,0,0,0,0,0,Não
1071,1,1,1,1,1,1,1,0,0,Não
1072,0,1,0,0,0,0,0,1,1,Não
1082,1,1,0,1,1,1,1,0,0,Sim
1086,1,0,1,1,1,1,0,0,0,Sim
1088,1,0,1,1,1,1,1,0,0,Sim
1089,1,0,1,1,1,1,1,0,0,Sim
1094,0,0,0,0,0,0,0,0,0,Não
1114,1,0,1,1,1,1,1,0,0,Sim
1118,1,0,1,1,1,1,1,0,0,Não
1133,1,0,0,1,1,1,1,1,1,Sim
1150,0,0,1,0,0,1,0,0,0,Não
1188,1,0,1,1,1,1,1,0,0,Não
1214,1,1,1,1,1,1,1,0,0,Não
1224,1,1,1,0,0,0,0,0,0,Não
1241,1,0,1,1,1,0,0,0,0,Sim
1242,0,0,1,1,1,0,0,0,0,Não
1285,1,1,1,1,1,1,1,0,0,Não
1292,1,0,1,1,1,1,1,0,0,Sim
1299,1,0,1,1,1,1,1,0,0,Não
1383,0,1,1,1,0,0,0,1,1,Sim
1385,1,0,1,1,1,1,1,0,0,Sim
1403,0,0,1,0,0,0,0,0,0,Não
1410,1,1,1,1,1,1,0,0,1,Não
1419,1,0,1,1,1,1,1,0,0,Sim
1420,0,1,1,1,1,0,0,0,1,Sim
1447,0,1,1,1,1,1,0,0,1,Não
1449,0,0,1,1,1,1,1,0,0,Não
1461,0,1,1,1,1,1,0,1,1,Sim
1462,1,0,1,1,1,1,1,0,0,Sim
1466,1,1,1,1,1,1,1,0,0,Sim
1489,1,0,1,1,1,1,1,0,0,Sim
1495,1,0,1,1,1,1,1,0,0,Sim
1500,1,0,1,0,0,0,1,0,0,Não
1512,0,1,1,1,1,1,1,0,0,Sim
1524,1,0,1,1,1,1,1,0,0,Sim
1540,0,1,1,1,1,1,1,0,0,Não
1548,0,0,0,0,0,0,0,0,0,Não
1550,1,0,1,1,1,1,1,0,0,Não
1578,1,0,1,1,1,1,1,0,0,Não
1582,1,0,1,1,1,1,1,0,0,Não
1589,1,0,1,1,1,1,1,0,0,Não
1590,1,0,1,1,1,1,1,0,0,Sim
